bills_included,description,details_url,first_published_date,floor_plan,furnished_state,latitude,listing_id,longitude,num_bathrooms,num_bedrooms,num_recepts,outcode,property_type,rent_price,shared_occu,student,rented,room_pm
0.0,"Six bedroom student property located on Seymour Road, 0.6 miles from George Street and Bath city centre. The property has recently been refurbished with new carpets throughout, re-painted, and new furniture.On the lower ground floor there is an open plan kitchen / living / dining room. The kitchen is fully fitted with base and wall units, pantry cupboard, cooker/hob, fridge/freezer and washing machine. A dining room table and chairs is provided as well as a sofa. There is also a downstairs shower room at the back of the property with a WC and sink. Outside there is a small garden with patio and gravel.On the ground floor there are two bedrooms, one is a double and one a single. There is also a bathroom on this floor. On the second floor there are another three single rooms and on the top floor there is a double room with storage. All rooms are provided with a bed (single or double), wardrobe and desk.The property is available from August 2020 to a group of six students.",https://www.zoopla.co.uk/to-rent/details/45652319?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-12-09 18:54:46,1,furnished,51.392475,45652319,-2.355982,0,6,0,BA1,Missing,2800,0,1,0,467.0
0.0,"  Contact our office on to book your appointmentmodern 6 bed student property available 1st July 2020.Large, fully furnished student property just off Newbridge Road and close to the student bus route. This house is in a perfect location for bath spa students.6 good sized bedrooms, 3 bathrooms (1 en-suite), large lounge/diner with doors to rear patio, kitchen with all appliances. Gas central heating, gardens and off-street parking.",https://www.zoopla.co.uk/to-rent/details/49687656?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-12-04 15:38:08,1,furnished,51.38759,49687656,-2.398945,3,6,1,BA1,Semi-detached house,2760,0,1,1,460.0
0.0,"Please quote reference 40284 when enquiring about this propertyA spacious 5 double bedrooms, 2 bathrooms, maisonette with its own front door, a property offering good quality student accommodation.New decorations and carpets new bathrooms.Available6 month contract January 2020 - July 2020 Ideal for returning placement students.Current EPC rating F",https://www.zoopla.co.uk/to-rent/details/53557953?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-12-02 16:26:04,0,furnished,51.383858000000004,53557953,-2.388391,0,5,0,BA1,Flats,2730,1,1,0,546.0
0.0,"A beautiful five bedroom student property just a 10 minute walk from the City Centre.The property comprises of a newly renovated kitchen (being done in the summer) 5 bedrooms a lovely living room, bathroom with shower over bath and a separate toilet. The property also has a big garden that is easy to maintain.This property is also located on good bus routes to both universities.Available August",https://www.zoopla.co.uk/to-rent/details/53719538?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-12-13 21:47:50,0,furnished,51.384914,53719538,-2.3816889999999997,1,5,0,BA1,Missing,2625,0,1,0,525.0
0.0,"Property Reference: 590776.We now have available for the next acadamic year starting July 2020 a lovely 5 bed house for students. Hmo licenced. Close to Locksbrook campus and on bus route into town or to Bath Spa Uni. 5 Bedrooms, Lounge, Kitchen with white goods, washing machine and tumble dryer. Separate WC. Enclosed garden at the Rear. All beds and furniture were replaced in 2019.Message me for more information.Summary & Exclusions:- Rent Amount: £2,625.00 per month (£605.77 per week)- Deposit / Bond: £2,625.00- 5 Bedrooms- 1 Bathrooms- Property comes furnished- Available to move in from 18 July, 2020- Minimum tenancy term is 12 months- Maximum number of tenants is 5- Students welcome to enquire- No Pets, sorry- No Smokers- Not Suitable for Families / Children- Bills not included- No Parking Available- Property has garden access- EPC Rating: D If calling, please quote reference: 590776 Fees:You will not be charged any admin fees.** Contact today to book a viewing and have the landlord show you round! **Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week.OpenRent endeavours to make all property particulars as accurate and reliable as possible, however if you require any further clarification or information please contact us. When applying for a tenancy using the Rent Now process, you will be required to pay one month's rent and any deposit before moving in. This will be paid to OpenRent and released to the landlord once you have moved in. With OpenRent there are no administration fees to pay. Property Reference five hundred and ninety thousand seven hundred and seventy-six",https://www.zoopla.co.uk/to-rent/details/53644264?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-12-07 13:30:20,0,furnished,51.384914,53644264,-2.3816889999999997,1,5,0,BA1,Terrace,2625,0,1,0,525.0
0.0,"Property Reference: 668098.Presenting a desirable 4 bedroom student maisonette in excellent location, close to the famous Royal Crescent just 10 minutes walk into the City Centre and a road away from local shops and bus routes. The property has 2 very spacious lockable bedrooms on the ground floor. The first floor has 2 further double bedrooms with a large open plan kitchen lounge. Recently refurbished shower room. Offered furnished with white goods to include an electric oven and hob, washing machine and free-standing fridge freezer.Gas central heating. No pets or smokers. Strictly no bike storage in the building, Quarterly rental payments.Deposit: £600.00 per personfixed term contract from 7th July 2020 to 30th June 2021rent: £7200 per person per annumpayable: Quarterly in advance on 1 Jul 20,1 Oct 20,1 Jan 21 and 1 Apr 21 by equal installments of £1800.00Summary & Exclusions:- Rent Amount: £2,400.00 per month (£553.85 per week)- Deposit / Bond: £2,400.00- 4 Bedrooms- 1 Bathrooms- Property comes furnished- Available to move in from 07 July, 2020- Minimum tenancy term is 12 months- Maximum number of tenants is 4- Students only.- No Pets, sorry- No Smokers- Not Suitable for Families / Children- Bills not included- No Parking Available- No Garden Access- EPC Rating: D If calling, please quote reference: 668098 Fees:You will not be charged any admin fees.** Contact today to book a viewing and have the landlord show you round! **Request Details form responded to 24/7, with phone bookings available 9am-9pm, 7 days a week.OpenRent endeavours to make all property particulars as accurate and reliable as possible, however if you require any further clarification or information please contact us. When applying for a tenancy using the Rent Now process, you will be required to pay one month's rent and any deposit before moving in. This will be paid to OpenRent and released to the landlord once you have moved in. With OpenRent there are no administration fees to pay. Property Reference six hundred and sixty-eight thousand and ninety-eight",https://www.zoopla.co.uk/to-rent/details/53353108?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-11-15 17:18:03,1,furnished,51.38843,53353108,-2.364329,1,4,0,BA1,Flats,2400,0,1,0,600.0
0.0,"Four bedroom student property located on Chelsea Road, Bath. Available 1st July 2020.This property has recently undergone complete renovations, with a new kitchen, new flooring throughout, and new furniture, It is a mid-terrace house with a private rear enclosed garden. The property has four bedrooms, all fully furnished doubles.Available 1st July 2020.",https://www.zoopla.co.uk/to-rent/details/53558230?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-12-02 16:51:02,0,furnished,51.38333,53558230,-2.3949529999999997,2,4,0,BA1,Terrace,2200,0,1,1,550.0
0.0,"  Smart four bedroom student house. This furnished house has four good sized double bedrooms, a fully fitted kitchen, living room, study, en-suite bathroom and family bathroom. There is a garden to the rear, and on road parking. It's situated a mile and a half from the city centre, with excellent bus links.  Internet and TV licence included.",https://www.zoopla.co.uk/to-rent/details/53600670?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-12-04 16:40:45,0,furnished,51.396606,53600670,-2.354275,2,4,1,BA1,Terrace,2200,0,1,0,550.0
0.0,"Superb Four bedroom student house situated in close proximity to two buses to Bath Spa University. The house has spacious bedrooms, bathroom with shower over the bath, kitchen/diner and rear garden.It is well maintained and located in a quiet cul-de-sac in Weston, Bath.Please contact us to arrange a viewing.NoticeAll photographs are provided for guidance only.",https://www.zoopla.co.uk/to-rent/details/53481465?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-11-27 10:17:25,0,furnished,51.38341,53481465,-2.389839,1,4,1,BA1,Semi-detached house,2100,0,1,0,525.0
0.0,"  This a brilliant 4 bedroom student flat! Centrally located, this property is sure to be snapped up!The apartment is compromises of a good size social kitchen with oven, fridge, freezer and washing machine. Large living area with ample of seating space. This property has two double bedrooms and two single bedrooms. Bathroom recently fitted with shower over bath. Electric heating.",https://www.zoopla.co.uk/to-rent/details/49766455?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-12-06 15:58:05,1,furnished,51.38988,49766455,-2.3573419999999996,1,4,1,BA1,Flats,1980,0,1,1,495.0
0.0,"  *viewings 19th December am* *4 bedroom student house* *Lovely quiet location, yet close to Bath city centre* *Fabulous views over Bath* *Full of character* *Charming private courtyard garden* The property is set over four floors, and has four double bedrooms (3 with double beds and one with a single bed with guest single bed underneath) The basement area has a large open plan kitchen/dining area and leading to the courtyard area. There is a family bathroom and a separate shower room.",https://www.zoopla.co.uk/to-rent/details/47873441?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-12-18 09:35:43,1,furnished,51.39465,47873441,-2.35166,1,4,2,BA1,Terrace,1960,0,1,0,490.0
0.0,"Please quote reference 39978 when enquiring about this propertyA 3 Bedroom ground floor apartment Furnished student property with garden situated within 10/15 minutes of the edge of city centre .The property is equipped furnished for students . High quality accommodation with 3 double bedrooms, open plan living area, integrated kitchen appliances, dishwasher, washer dryer, electric fan oven, microwave, breakfast bar dining/ eating area, private paved garden.",https://www.zoopla.co.uk/to-rent/details/53183504?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-10-30 10:47:14,1,furnished,51.3949,53183504,-2.35327,0,3,0,BA1,Flats,1935,0,1,0,645.0
0.0,"This unique student home is offered furnished and comprises of spacious lounge, kitchen with white goods, separate utility room, and four double bedrooms â€“ one with an en suite bathroom. There are another two bathrooms and a further WC. Further benefits to the property are a private paved courtyard and gas central heating. Permit parking is available.The Circus is situated at the heart of Bath city centre and offers convenient access for all the attractions of the World Heritage site. Excellent transport links for both universities can be found nearby.This is a Non Housing Tenancy Therefore Fees Apply!The property is available from August 2020. Call Chappell & Matthews to book your viewing today!",https://www.zoopla.co.uk/to-rent/details/50898702?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-11-01 21:47:52,0,furnished,51.38628,50898702,-2.364585,3,4,1,BA1,Flats,1840,0,1,0,460.0
0.0,"This fantastic student home is offered furnished, and comprises of a good sized kitchen/ diner with white goods, bathroom with shower over the bath, further WC and four large double bedrooms. The property benefits from electric central heating. Permit parking is available.The Circus is situated at the heart of Bath city centre and offers convenient access for all the attractions of the World Heritage site. Excellent transport links for both universities can be found nearby.This is a Non Housing Tenancy Therefore Fees Apply!The property is available from August 2020 Call Chappell & Matthews to book your viewing today!",https://www.zoopla.co.uk/to-rent/details/50898703?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-11-01 21:47:52,0,furnished,51.38628,50898703,-2.364585,1,4,1,BA1,Flats,1800,0,1,1,450.0
0.0,"Suitable for professional sharers or students 2020/21: A spacious four double bedroom detached house available in Lansdown Lane Bath. This part furnished property comprises; a spacious kitchen/ breakfast room with white goods including dishwasher and a separate dining room and a sitting room. There is a double bedroom and shower room located on the ground floor. On the first floor there are three double bedrooms and a family bathroom with over head shower. This property further benefits from a utility room and garden, double glazing and gas central heating. This property has a private driveway with a double garage for secure parking. The house is available August 2020. Lansdown Lane is located within the village of Weston just a short distance to the City Centre and bus routes. There are ample local amenities close by.",https://www.zoopla.co.uk/to-rent/details/47741308?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-11-27 23:44:31,1,furnished,51.402283000000004,47741308,-2.396166,1,4,1,BA1,Detached house,1700,0,1,1,425.0
0.0,"  Location, location, location! Spacious student maisonette in the heart of Bath City Centre close to bus station. 3 bedrooms, living room, kitchen/diner and bathroom. Will be snapped up! ",https://www.zoopla.co.uk/to-rent/details/49836228?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-11-05 16:58:12,1,furnished,51.37907,49836228,-2.360978,1,3,1,BA1,Flats,1650,0,1,1,550.0
0.0,"Well presented student house 2020-21: A recently decorated spacious three bedroom house situated in a quiet location just a short distance from the City of Bath in the village of Weston. The property is offered part- furnished and is suitable for sharers or three persons. The accommodation comprises entrance hall, spacious sitting room with open plan kitchen including larder fridge, freezer and dishwasher, bathroom, three bedrooms and small utility room. To the rear is an enclosed garden. Parking Available. The property is available July 2020.",https://www.zoopla.co.uk/to-rent/details/47741322?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-11-27 23:44:31,1,part_furnished,51.398693,47741322,-2.388804,1,3,1,BA1,Terrace,1600,0,1,0,533.0
0.0,"  Viewngs fully booked! Located in the very heart of the City Centre, this spacious 3 bedroom student maisonette has recently been redecorated. On road parking with permit parking.",https://www.zoopla.co.uk/to-rent/details/49630612?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-11-05 16:54:12,0,furnished,51.37907,49630612,-2.360978,1,3,0,BA1,Flats,1575,0,1,1,525.0
0.0,"A stunning 2 bedroomed student property in the city centre of Bath. Close to all local amenities and transport links and overlooking Green Park. The property boasts 2 fully furnished double bedrooms, fully equipped kitchen including fridge freezer, washing machine and dishwasher. Large spacious living area and bathroom. The property is available from July 2020 for 12 months. The bedrooms have double bed, wardrobes, desk and chairs provided. Early viewing recommended.",https://www.zoopla.co.uk/to-rent/details/53527239?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-11-29 13:17:25,0,furnished,51.380726,53527239,-2.3675439999999996,1,2,1,BA1,Flats,1500,0,1,0,750.0
0.0,"This stunning student home is offered furnished, and has been fully refurbished throughout. The accommodation comprises of lounge, large fully fitted kitchen/ diner, upstairs shower room and three double bedrooms. To the rear of the property is a reasonably sized garden and utility outhouse. Further benefits are gas central heating, double glazing and on street parking.Lower Weston offers plenty of local amenities including grocery stores and several pubs. The city centre is within good proximity, and excellent transport links for both universities can be found nearby.The property is available from August 2020. Call Chappell & Matthews today to book your viewing!",https://www.zoopla.co.uk/to-rent/details/53192334?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-10-30 21:49:18,0,furnished,51.383327,53192334,-2.389936,1,3,1,BA1,Missing,1500,0,1,1,500.0
0.0,"50% off first months rental for tenancies commencing between 18th November 2019 and 18th December 2019 only. A charming two bedroom apartment, self-contained within a handsome Grade II Listed townhouse, situated at the end of a Georgian terrace. The glorious bow of the west façade impacts the sitting room. Three sash windows allow natural light to fill the room which is further enhanced by stunning triple aspect views. This spacious room allows for formal dining and features a marble fireplace. The master bedroom has fitted wardrobes, two sash windows overlooking the rear garden and beautiful decorative fire place. The second bedroom can be flexible in use, a study or guest bedroom perhaps, even a further reception room, whichever is chosen, its light, airy and well proportioned. The kitchen/breakfast room has wooden fittings with integrated fridge/freezer, dishwasher and washing machine together with double electric oven and gas hob. The bathroom is fitted with a white four piece suite and tiled splash back. This property is unavailable to students and pets unfortunately are not accepted. Additional £150.00 (with furniture).",https://www.zoopla.co.uk/to-rent/details/52789553?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-09-20 12:58:01,1,furnished_or_unfurnished,51.39264,52789553,-2.367309,1,2,1,BA1,Flats,1295,0,1,1,648.0
0.0,"Summary*student property*Contemporary style two bedroom furnished apartment on the edge of westonThis beautifully presented two bedroom apartment comes fully furnished with modern furnishings. Located on the ground floor, the apartment comprises of an entrance hallway with built in storage, spacious living room leaving to a balcony style terrace, modern kitchen with white goods, two double bedrooms and modern bathroom with shower.Set at the end of a quiet private road on the edge of Weston, the property is a short walk to Victoria Park and onto the city centre and also the ruh.Available Aug 2020description*student property*Contemporary style two bedroom furnished apartment on the edge of westonThis beautifully presented two bedroom apartment comes fully furnished with modern furnishings. Located on the ground floor, the apartment comprises of an entrance hallway with built in storage, spacious living room leaving to a balcony style terrace, modern kitchen with white goods, two double bedrooms and modern bathroom with shower.Set at the end of a quiet private road on the edge of Weston, the property is a short walk to Victoria Park and onto the city centre and also the ruh.Available Aug 2020While every reasonable effort is made to ensure the accuracy of descriptions and content, we should make you aware of the following guidance or limitations.(1) money laundering regulations – prospective tenants will be asked to produce identification documentation during the referencing process and we would ask for your co-operation in order that there will be no delay in agreeing a tenancy.(2) These particulars do not constitute part or all of an offer or contract.(3) The text, photographs and plans are for guidance only and are not necessarily comprehensive.(4) Measurements: These approximate room sizes are only intended as general guidance. You must verify the dimensions carefully to satisfy yourself of their accuracy.(5) You should make your own enquiries regarding the property, particularly in respect of furnishings to be included/excluded and what parking facilities are available.(6) Before you enter into any tenancy for one of the advertised properties, the condition and contents of the property will normally be set out in a tenancy agreement and inventory. Please make sure you carefully read and agree with the tenancy agreement and any inventory provided before signing these documents.",https://www.zoopla.co.uk/to-rent/details/41578915?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2020-01-03 13:09:10,1,furnished,51.394238,41578915,-2.382198,0,2,0,BA1,Flats,1275,0,1,0,638.0
0.0,"Please quote reference 40288 when enquiring about this propertyrefurbished with new carpets, furniture and furniture. A furnished student property in the heart of the city centre. Situated in the heart of the city centre, close to Sainsburys large supermarket is 300 meters waking distance. The city centre, Milsom street & Southgate shopping centre are within 5 mins walking distance.High quality AccommodationTwo Double bedrooms, Living room, Fitted kitchen with sit up breakfast bar, additional private loft storage space.Bathroom with bath and shower over. Excellent new furnishings, new carpets, decorations and new washer dryer.",https://www.zoopla.co.uk/to-rent/details/53557948?utm_source=v1:5rrMAiKeXRaB5B66ZOF-pGGnegU4wb2L&utm_medium=api,2019-12-02 16:24:27,0,furnished,51.382874,53557948,-2.367532,0,2,0,BA1,Flats,1275,0,1,0,638.0
